BusinessType,CashInBox,genderperc,type,freq,Year
000 Others - Trading,942.37838,0.4146,Trading,18327,2019
000 Others - Production,831.52845,0.5997,Production,18839,2019
000 Others - Service,804.69793,0.4683,Service,31172,2019
101 Meat Shop,913.9729953,0.362753868,Production,7829,2019
103 Pickles,595.5460526,0.67964071,Production,334,2019
103 Snacks making (Namkeen),744.2758985,0.492063493,Production,1071,2019
104 Oil production,700.1643454,0.547368407,Production,380,2019
"105 Dairy products - Paneer, curd etc",404.9683853,0.702806294,Production,8873,2019
106 Flour mill,400.0870552,0.605565965,Production,7474,2019
106 Rice mill,749.6507558,0.283870965,Production,1860,2019
107 Bakery,563.3080793,0.684549332,Production,1864,2019
107 Masala processing,762.9656751,0.609375,Production,512,2019
107 Muri production,399.9659486,0.780813575,Production,1647,2019
107 Papad making,446.4684129,0.836206913,Production,696,2019
107 Sweets making,1213.599099,0.285052896,Production,1512,2019
131 Handloom,785.1795544,0.86946106,Production,5010,2019
"139 Bed making and selling – Mattress, Razai",1150.045455,0.397119343,Production,486,2019
"139 Coir, rope making",764.2884615,0.668032765,Production,244,2019
141 Tailoring,367.2439564,0.883398354,Production,49742,2019
162 Bamboo products making,397.1957672,0.682114661,Production,2913,2019
162 Broom making and selling,278.2289644,0.842525423,Production,1378,2019
162 Handicraft,626.2435151,0.650476217,Production,2100,2019
162 Mat making,298.1222222,0.821942449,Production,556,2019
"162 Plates (paper, leaf)",286.1374781,0.83360523,Production,1226,2019
170 Bag making,601.6025641,0.748079896,Production,651,2019
"170 Paper products  – bags, covers",621.1388889,0.805309713,Production,113,2019
181 Printing press,756.7264493,0.275700927,Production,642,2019
201Making products from cow dung,746.5095785,0.764168203,Production,547,2019
201Organic compost production,532.5188285,0.615969598,Production,263,2019
202 Agarbatti making,708.7436709,0.694524467,Production,347,2019
202 Bindi making,743.8888889,0.702127635,Production,47,2019
202 Soap and detergent,790.05,0.580952406,Production,105,2019
23 Lah production and selling,940.9027778,0.291666657,Production,264,2019
231 Glass Bangle making,846.8582996,0.787401557,Production,254,2019
239 Bricks and Tiles making,1233.178289,0.268848628,Production,1711,2019
239 Cement Product making,2015.744186,0.150877193,Production,285,2019
239 Pottery,477.5493562,0.46403712,Production,1724,2019
259 Aluminium works,1428.195652,0.15384616,Production,247,2019
259 Blacksmith,692.8219462,0.166981131,Production,1060,2019
259 Welding,1108.177126,0.087906502,Production,1968,2019
259Chain Link Fencing,1741.860465,0.319999993,Production,50,2019
259Pole Fencing Production,917.5677966,0.229508191,Production,122,2019
309 Cart making - Bullock cart etc,991.8032258,0.131578952,Production,152,2019
310 Carpenter,817.6785347,0.065906562,Production,3596,2019
321 Jewellery making,1050.738326,0.344329894,Production,485,2019
324 Doll making,486.825,0.669421494,Production,121,2019
"324 Toy, Sports shop",967.5530612,0.424511552,Production,563,2019
329 Stationery making,769.6277372,0.709459484,Production,148,2019
"410 Centering, construction",882.3142601,0.058245853,Trading,5906,2019
433 Painter,739.5116337,0.059507523,Service,1462,2019
439Bore well digging,834.6342412,0.285204977,Service,561,2019
452 Bike repair,913.9660074,0.083333336,Service,1740,2019
"452 Four, three wheeler repair",1052.971032,0.088192418,Service,1372,2019
463 Dairy,511.5885985,0.568178177,Trading,6197,2019
471 Gift shop,781.665786,0.547085226,Trading,892,2019
471 Kirana,870.5848329,0.486065775,Trading,62185,2019
